annotation_id,claim_id,claim_cluster_id,link_reasons,linked_formal_ids,linked_component_ids,linked_outer_folds,linked_component_count,maximum_claim_similarity,retained_in_every_scorer_fold
eswa_0001,medfact_bench_1196,claim_bd66082091,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1058;medfact_bench_1096;medfact_bench_1188;medfact_bench_1189;medfact_bench_1190;medfact_bench_1191;medfact_bench_1192;medfact_bench_1193;medfact_bench_1194;medfact_bench_1195;medfact_bench_1196,pair_component_0017,4,1,1.0,False
eswa_0002,medfact_bench_1075,claim_7444a298c2,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1071;medfact_bench_1072;medfact_bench_1073;medfact_bench_1074;medfact_bench_1075;medfact_bench_1080;medfact_bench_1112;medfact_bench_1143;medfact_bench_1199;medfact_bench_1208;medfact_bench_384,pair_component_0012,2,1,0.9999999999999967,False
eswa_0003,medfact_bench_1194,claim_bd66082091,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1056;medfact_bench_1188;medfact_bench_1189;medfact_bench_1190;medfact_bench_1191;medfact_bench_1192;medfact_bench_1193;medfact_bench_1194;medfact_bench_1195;medfact_bench_1196,pair_component_0017,4,1,1.0,False
eswa_0004,medfact_bench_882,claim_9e9a160b92,,,,,0,0.26286494640171365,True
eswa_0006,medfact_bench_1624,claim_a3714f8b1e,,,,,0,0.4826304838930626,True
eswa_0007,medfact_bench_1704,claim_167bd6f82e,,,,,0,0.5604805072446053,True
eswa_0008,medfact_bench_1795,claim_dba620a318,,,,,0,0.650374456283406,True
eswa_0009,medfact_bench_1848,claim_6cbc19807c,,,,,0,0.5627752087318152,True
eswa_0010,medfact_bench_1988,claim_e682fbcd42,,,,,0,0.15702287815709834,True
eswa_0011,pubhealth_train_260,claim_8ca3e15592,,,,,0,0.1940792094490005,True
eswa_0012,pubhealth_test_793,claim_c7fd3fd87e,,,,,0,0.21604173012717648,True
eswa_0013,pubhealth_test_1124,claim_34a57fcbce,,,,,0,0.09596986223125638,True
eswa_0014,pubhealth_train_1208,claim_874e953fd1,,,,,0,0.09745367500988847,True
eswa_0015,pubhealth_validation_597,claim_667c758c2e,,,,,0,0.28142169102044845,True
eswa_0016,pubhealth_test_317,claim_0a501ce8f8,,,,,0,0.3306100506964241,True
eswa_0017,medfact_bench_185,claim_de3db3a8f8,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_185,pair_component_0048,1,1,0.9999999999999978,False
eswa_0018,medfact_bench_12,claim_8148d6da10,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_12,pair_component_0039,2,1,1.0000000000000009,False
eswa_0019,medfact_bench_126,claim_4deebfc0f9,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_126,pair_component_0070,1,1,0.9999999999999986,False
eswa_0020,medfact_bench_257,claim_b8e28c54ca,,,,,0,0.20284372463103728,True
eswa_0021,medfact_bench_160,claim_fc963599fa,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_160,pair_component_0151,3,1,0.9999999999999997,False
eswa_0022,medfact_bench_212,claim_d9869e9f23,,,,,0,0.21394401294274404,True
eswa_0023,medfact_bench_427,claim_9b418214c9,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1015;medfact_bench_1154;medfact_bench_425;medfact_bench_426;medfact_bench_427,pair_component_0019,3,1,1.0000000000000009,False
eswa_0024,medfact_bench_1072,claim_7444a298c2,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1071;medfact_bench_1072;medfact_bench_1073;medfact_bench_1074;medfact_bench_1075;medfact_bench_1077,pair_component_0012,2,1,0.9999999999999967,False
eswa_0025,medfact_bench_1153,claim_fd447bcc80,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1139;medfact_bench_1150;medfact_bench_1151;medfact_bench_1152;medfact_bench_1153;medfact_bench_1154;medfact_bench_1155,pair_component_0019,3,1,1.0000000000000004,False
eswa_0026,medfact_bench_882,claim_9e9a160b92,,,,,0,0.26286494640171365,True
eswa_0027,medfact_bench_355,claim_8b8f258dad,exact_normalized_claim,medfact_bench_351;medfact_bench_353,pair_component_0118,0,1,0.9999999999999984,False
eswa_0028,medfact_bench_1622,claim_a3714f8b1e,,,,,0,0.4826304838930626,True
eswa_0029,medfact_bench_1607,claim_397ef6320d,,,,,0,0.6717220817944247,True
eswa_0030,medfact_bench_1626,claim_4ce83e423d,,,,,0,0.31776316027938145,True
eswa_0031,medfact_bench_1725,claim_e747f23859,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1588;medfact_bench_1722;medfact_bench_1725;medfact_bench_1726;medfact_bench_1727,pair_component_0160,1,1,0.9999999999999994,False
eswa_0032,medfact_bench_1988,claim_e682fbcd42,,,,,0,0.15702287815709834,True
eswa_0033,pubhealth_train_766,claim_001f8da441,,,,,0,0.1750066494387516,True
eswa_0034,pubhealth_train_446,claim_b93a142183,,,,,0,0.2547091164926564,True
eswa_0035,pubhealth_train_1829,claim_d9f1599eb3,,,,,0,0.3159302141801081,True
eswa_0036,pubhealth_train_1327,claim_afe6a7f5f9,,,,,0,0.11888242787443176,True
eswa_0037,pubhealth_test_786,claim_a47acb7605,,,,,0,0.11118050808580725,True
eswa_0038,medfact_bench_185,claim_de3db3a8f8,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_185,pair_component_0048,1,1,0.9999999999999978,False
eswa_0039,medfact_bench_12,claim_8148d6da10,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_12,pair_component_0039,2,1,1.0000000000000009,False
eswa_0040,medfact_bench_126,claim_4deebfc0f9,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_126,pair_component_0070,1,1,0.9999999999999986,False
eswa_0041,medfact_bench_16,claim_0cfe202b73,,,,,0,0.23195144720049163,True
eswa_0042,medfact_bench_160,claim_fc963599fa,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_160,pair_component_0151,3,1,0.9999999999999997,False
eswa_0043,medfact_bench_55,claim_337c19043a,,,,,0,0.2007164465988584,True
eswa_0044,medfact_bench_1143,claim_e5c41b4984,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1075;medfact_bench_1080;medfact_bench_1112;medfact_bench_1140;medfact_bench_1141;medfact_bench_1142;medfact_bench_1143;medfact_bench_1199;medfact_bench_1208;medfact_bench_384,pair_component_0012,2,1,1.0000000000000004,False
eswa_0045,medfact_bench_810,claim_c11c618f61,normalized_source_prefix,medfact_bench_1155,pair_component_0019,3,1,0.2503175353953361,False
eswa_0046,medfact_bench_1151,claim_fd447bcc80,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1067;medfact_bench_1138;medfact_bench_1150;medfact_bench_1151;medfact_bench_1152;medfact_bench_1153;medfact_bench_1154;medfact_bench_1155,pair_component_0019,3,1,1.0000000000000004,False
eswa_0047,medfact_bench_727,claim_da74be9318,normalized_source_prefix,medfact_bench_1067;medfact_bench_1138;medfact_bench_1151,pair_component_0019,3,1,0.2019709158542105,False
eswa_0048,medfact_bench_742,claim_afca56b014,normalized_source_prefix,medfact_bench_1045,pair_component_0025,3,1,0.2657116239747238,False
eswa_0049,medfact_bench_1306,claim_04196f1e2f,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1306;medfact_bench_1307;medfact_bench_1308;medfact_bench_1316;medfact_bench_1383;medfact_bench_1527,pair_component_0069,0,1,0.9999999999999992,False
eswa_0050,medfact_bench_1761,claim_fd966df45e,exact_normalized_claim;normalized_source_prefix,medfact_bench_1588;medfact_bench_1654;medfact_bench_1656;medfact_bench_1722;medfact_bench_1725,pair_component_0160,1,1,1.0000000000000013,False
eswa_0051,medfact_bench_1686,claim_e7d6c22680,,,,,0,0.2789027672479169,True
eswa_0052,medfact_bench_1595,claim_88abd29670,exact_normalized_claim;normalized_source_prefix;same_record_id,medfact_bench_1595;medfact_bench_1748,pair_component_0169,2,1,0.9999999999999974,False
eswa_0053,pubhealth_train_260,claim_8ca3e15592,,,,,0,0.1940792094490005,True
eswa_0054,pubhealth_test_793,claim_c7fd3fd87e,,,,,0,0.21604173012717648,True
eswa_0055,pubhealth_train_238,claim_9c1468f85c,,,,,0,0.14924974155930193,True
eswa_0056,pubhealth_train_1499,claim_eeddf9c48d,,,,,0,0.25004404706566236,True
eswa_0057,pubhealth_train_1927,claim_ffa83b7fd0,,,,,0,0.20481778909102982,True
