component_id,component_size,outer_fold,record_ids,datasets,exact_claim_hash_collision,exact_source_hash_collision,construction_rule
pair_component_0001,1,2,medfact_bench_1,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0002,1,4,medfact_bench_0,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0003,1,2,medfact_bench_102,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0004,6,1,medfact_bench_1031;medfact_bench_1032;medfact_bench_1033;medfact_bench_1034;medfact_bench_1035;medfact_bench_1036,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0005,1,4,medfact_bench_104,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0006,1,1,medfact_bench_105,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0007,3,1,medfact_bench_1088;medfact_bench_1089;medfact_bench_1090,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0008,1,1,medfact_bench_109,scifact,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0009,3,1,medfact_bench_1091;medfact_bench_1092;medfact_bench_1093,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0010,2,3,medfact_bench_10;medfact_bench_11,scifact,False,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0011,33,1,medfact_bench_1016;medfact_bench_1017;medfact_bench_1018;medfact_bench_1019;medfact_bench_1020;medfact_bench_1104;medfact_bench_1105;medfact_bench_1106;medfact_bench_1107;medfact_bench_1158;medfact_bench_1159;medfact_bench_1160;medfact_bench_1161;medfact_bench_1162;medfact_bench_1163;medfact_bench_1164;medfact_bench_1165;medfact_bench_1166;medfact_bench_1167;medfact_bench_345;medfact_bench_440;medfact_bench_441;medfact_bench_443;medfact_bench_509;medfact_bench_510;medfact_bench_511;medfact_bench_512;medfact_bench_515;medfact_bench_529;medfact_bench_549;medfact_bench_550;medfact_bench_552;medfact_bench_553,healthver,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0012,27,2,medfact_bench_1071;medfact_bench_1072;medfact_bench_1073;medfact_bench_1074;medfact_bench_1075;medfact_bench_1076;medfact_bench_1077;medfact_bench_1078;medfact_bench_1079;medfact_bench_1080;medfact_bench_1110;medfact_bench_1111;medfact_bench_1112;medfact_bench_1140;medfact_bench_1141;medfact_bench_1142;medfact_bench_1143;medfact_bench_1197;medfact_bench_1198;medfact_bench_1199;medfact_bench_1207;medfact_bench_1208;medfact_bench_380;medfact_bench_381;medfact_bench_382;medfact_bench_383;medfact_bench_384,healthver,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0013,3,3,medfact_bench_1113;medfact_bench_1114;medfact_bench_1115,healthver,True,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0014,21,4,medfact_bench_1116;medfact_bench_1117;medfact_bench_1118;medfact_bench_1119;medfact_bench_1120;medfact_bench_1121;medfact_bench_1122;medfact_bench_1123;medfact_bench_1124;medfact_bench_1125;medfact_bench_1126;medfact_bench_1127;medfact_bench_1128;medfact_bench_1224;medfact_bench_1225;medfact_bench_1226;medfact_bench_1227;medfact_bench_1228;medfact_bench_1229;medfact_bench_1230;medfact_bench_1231,healthver,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0015,5,2,medfact_bench_1059;medfact_bench_1060;medfact_bench_1061;medfact_bench_1062;medfact_bench_1063,healthver,True,True,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
pair_component_0016,1,1,medfact_bench_1081,healthver,False,False,connected_components(exact_claim OR exact_source OR claim_char_ngram_tfidf_cosine>=0.90)
