annotation_id,claim_id,dataset,annotator_a_path_relevance,annotator_a_evidence_role,annotator_a_error_type,annotator_b_path_relevance,annotator_b_evidence_role,annotator_b_error_type,final_path_relevance,final_evidence_role,final_error_type
eswa_bclean_0001,medfact_bench_1196,healthver,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0002,medfact_bench_1075,healthver,PARTIAL,CONTEXT_ONLY,POLARITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,POLARITY
eswa_bclean_0003,medfact_bench_1194,healthver,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY
eswa_bclean_0004,medfact_bench_882,healthver,IRRELEVANT,CONTEXT_ONLY,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0005,medfact_bench_355,healthver,IRRELEVANT,REFUTE,POLARITY,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0006,medfact_bench_1704,medaesqa,RELEVANT,SUPPORT,NONE,RELEVANT,SUPPORT,NONE,RELEVANT,SUPPORT,NONE
eswa_bclean_0007,pubhealth_test_1124,pubhealth,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING,IRRELEVANT,UNKNOWN,ENTITY_LINKING
eswa_bclean_0008,medfact_bench_257,scifact,PARTIAL,CONTEXT_ONLY,POLARITY,PARTIAL,REFUTE,POLARITY,PARTIAL,REFUTE,POLARITY
eswa_bclean_0009,medfact_bench_160,scifact,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0010,medfact_bench_1072,healthver,PARTIAL,CONTEXT_ONLY,POLARITY,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,PARTIAL,CONTEXT_ONLY,POLARITY
eswa_bclean_0011,medfact_bench_1153,healthver,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH
eswa_bclean_0012,medfact_bench_1607,medaesqa,RELEVANT,SUPPORT,NONE,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY
