annotation_id,claim_id,dataset,gold_label,claim_sha256,path_text,relations,path_type,evidence_tier,claim_predicate_families,kg_relation_family,predicate_aligned,endpoint_aligned,path_score,entity_pair_key,claim_cluster_id,duplicate_group_size,path_relevance,evidence_role,error_type,semantic_relation_remapped,actionability
eswa_0001,medfact_bench_1196,healthver,REFUTE,8ff706899478355926f07080c0152c05d44774db9f6c7ff3a172506aeed3a828,Hydroxychloroquine --treats--> malaria,treats,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,TREATS,FALSE,TRUE,0.6675,Compound::DB01611||PrimeKG::Disease::MONDO:5136,claim_bd66082091,5,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0002,medfact_bench_1075,healthver,SUPPORT,03506dc6e15832eaf975065b9a5f791f3b367a40931d6fb4862c89041c73c873,Ibuprofen --causes--> Swelling,causes,1-hop,DIRECT_PREDICATE_MISMATCH,TREATS;PRESENTS;ASSOCIATES,CAUSES,FALSE,TRUE,0.6675,Compound::DB01050||Side Effect::C0038999,claim_7444a298c2,3,PARTIAL,CONTEXT_ONLY,POLARITY,false,NON_ACTIONABLE
eswa_0003,medfact_bench_1194,healthver,SUPPORT,8ff706899478355926f07080c0152c05d44774db9f6c7ff3a172506aeed3a828,Hydroxychloroquine --treats--> malaria,treats,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,TREATS,FALSE,TRUE,0.6675,Compound::DB01611||PrimeKG::Disease::MONDO:5136,claim_bd66082091,5,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0004,medfact_bench_882,healthver,UNCERTAIN,67a4082b89c308e8ae49853eb66271b2b0d91c9f1a96228206ce58ca3d1e510e,brain --upregulates--> MAGEE1,upregulates,1-hop,DIRECT_PREDICATE_MISMATCH,CAUSES,EXPRESSION,FALSE,TRUE,0.6675,Anatomy::UBERON:0000955||Gene::57692,claim_9e9a160b92,1,IRRELEVANT,UNKNOWN,ENTITY_LINKING,false,NON_ACTIONABLE
eswa_0006,medfact_bench_1624,medaesqa,SUPPORT,dee8d90730f199ab96eff5e669ea6c63c23cbd69d54b7761ee94c132e68413d3,RUNX2 --associates--> cleidocranial dysplasia,associates,1-hop,DIRECT_PREDICATE_MATCH,ASSOCIATES,ASSOCIATES,TRUE,TRUE,0.9175,Gene::860||PrimeKG::Disease::MONDO:7340,claim_a3714f8b1e,3,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,false,ACTIONABLE
eswa_0007,medfact_bench_1704,medaesqa,SUPPORT,5dffd0a324a007d1be95b8147705736e711bbe784bf339469e55946e288c58d1,cleidocranial dysplasia --associates--> RUNX2,associates,1-hop,DIRECT_PREDICATE_MISMATCH,CAUSES,ASSOCIATES,FALSE,TRUE,0.6675,Gene::860||PrimeKG::Disease::MONDO:7340,claim_167bd6f82e,1,RELEVANT,SUPPORT,NONE,false,ACTIONABLE
eswa_0008,medfact_bench_1795,medaesqa,SUPPORT,2387ff7fa0add6292c3ab93659b4e104dcef936a85bf338925ab20adb50d8dc1,cleidocranial dysplasia --associates--> RUNX2,associates,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,ASSOCIATES,FALSE,TRUE,0.6675,Gene::860||PrimeKG::Disease::MONDO:7340,claim_dba620a318,3,RELEVANT,SUPPORT,NONE,false,ACTIONABLE
eswa_0009,medfact_bench_1848,medaesqa,UNCERTAIN,496289131a090e668dd60057932269331ddf9af5cc7d6452bde95eadcfb95146,cleidocranial dysplasia --associates--> RUNX2,associates,1-hop,DIRECT_PREDICATE_MISMATCH,CAUSES,ASSOCIATES,FALSE,TRUE,0.6675,Gene::860||PrimeKG::Disease::MONDO:7340,claim_6cbc19807c,3,PARTIAL,SUPPORT,INSUFFICIENT_SPECIFICITY,false,ACTIONABLE
eswa_0010,medfact_bench_1988,medaesqa,UNCERTAIN,ec82eab3102c89dba8f358ed8bfe4f371b93b94ae4ae6a3949c8207dc2dd47bd,Phosphodiesterase 4 Inhibitors --includes--> Roflumilast,includes,1-hop,DIRECT_RELATION_UNRESOLVED,UNRESOLVED,CONTEXT_ONLY,FALSE,TRUE,0.4675,Compound::DB01656||Pharmacologic Class::N0000182960,claim_e682fbcd42,4,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
eswa_0011,pubhealth_train_260,pubhealth,REFUTE,1ac4cb3bc5b9a0cac3830c4bfd57198c2fda05dfad9e09611ad9df62b51bb9c9,osteoarthritis --localizes--> knee joint,localizes,1-hop,DIRECT_PREDICATE_MISMATCH,TREATS,CONTEXT_ONLY,FALSE,TRUE,0.4675,Anatomy::UBERON:0001485||Disease::DOID:8398,claim_8ca3e15592,1,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,false,NON_ACTIONABLE
