record_id,source_record_id,dataset,frozen_gold_label,sampling_frame,selection_rule,selection_order_within_label,normalized_claim_sha256,normalized_source_sha256,component_id,outer_fold,near_duplicate_threshold,selection_seed
medfact_bench_0,medfact_bench_0,scifact,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,1,206de6136f5aa78a53b83760da52b37c62f92cd462c5476e4b6b8087b125a437,058b6e3bd34162500538a9ab7f398fbe74f4e6d6460c2e4cb4bcccd577ee2f90,pair_component_0002,4,0.9,20260618
medfact_bench_1,medfact_bench_1,scifact,SUPPORT,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,1,83bf531c351d9171a5bacac6389d6798eddda1738c12693146ffe06fb85e9e96,f04536e7d0d2ea8e2dfb38824ec692783fe83d45f1366d3f9c5723a362840529,pair_component_0001,2,0.9,20260618
medfact_bench_10,medfact_bench_10,scifact,REFUTE,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,1,13297e466bd165a8e419eba59419b06d0404c93ace1fe677de6c3102fc6f3434,bd637e79d20728fe752345417ec4146ed76eeb37131f1b82b680a4df67724c05,pair_component_0010,3,0.9,20260618
medfact_bench_100,medfact_bench_100,scifact,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,2,a06cc090e87bb1d53a29695e9051097b27c2262d079a6853538b590792d66fe9,0b30818ab01bf5a0b68095c6b206d487bbe5d2bc00025149168383f54043fd70,pair_component_0021,1,0.9,20260618
medfact_bench_1000,medfact_bench_1000,healthver,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,3,0b2f02ca04f3bcd808351fbb620be9a6e2d47fcbfb8cd23eb435839931d23e94,01e413a1b34e20f79f343a36e1ecd5fe83f374fde93ef64d34521420e0a3d27a,pair_component_0058,4,0.9,20260618
medfact_bench_1001,medfact_bench_1001,healthver,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,4,0b2f02ca04f3bcd808351fbb620be9a6e2d47fcbfb8cd23eb435839931d23e94,c3a69a269f4e79a7f4ede31e751e13045367725274499100cdfc5b1fb3a09735,pair_component_0058,4,0.9,20260618
medfact_bench_1002,medfact_bench_1002,healthver,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,5,0b2f02ca04f3bcd808351fbb620be9a6e2d47fcbfb8cd23eb435839931d23e94,e6d65a8ad282397937a35b7dd7883e73205d05dff5f3d0cce3cb5189b416b055,pair_component_0058,4,0.9,20260618
medfact_bench_1003,medfact_bench_1003,healthver,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,6,0b2f02ca04f3bcd808351fbb620be9a6e2d47fcbfb8cd23eb435839931d23e94,f9a4ab03ea16a4f56527c0fcc2a9d6d24011dc4206c35e82ef14ab47f4ec5780,pair_component_0058,4,0.9,20260618
medfact_bench_1004,medfact_bench_1004,healthver,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,7,0b2f02ca04f3bcd808351fbb620be9a6e2d47fcbfb8cd23eb435839931d23e94,15566b2248dd828472396361672dc3eb676746fbb00265d65e38a389eb93f490,pair_component_0058,4,0.9,20260618
medfact_bench_1005,medfact_bench_1005,healthver,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,8,0b2f02ca04f3bcd808351fbb620be9a6e2d47fcbfb8cd23eb435839931d23e94,eec62f5e6be0894d83a27fe95c5dd5db06cab9cdc4479a0a34b861cdf1901b10,pair_component_0058,4,0.9,20260618
medfact_bench_1006,medfact_bench_1006,healthver,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,9,0b2f02ca04f3bcd808351fbb620be9a6e2d47fcbfb8cd23eb435839931d23e94,684363ecd4c65bd4a552c35292627335f689034213ff3242df874e7b25389b64,pair_component_0058,4,0.9,20260618
medfact_bench_1007,medfact_bench_1007,healthver,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,10,c22ceea05d310839441ef0f377a8f8a25abf4e7a21dc803bb0d00864689a4b17,a399a04523bcacb4b85f2cb4253b630fba2135e1e67806a858a3f2505adb7c3d,pair_component_0020,3,0.9,20260618
medfact_bench_1008,medfact_bench_1008,healthver,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,11,c22ceea05d310839441ef0f377a8f8a25abf4e7a21dc803bb0d00864689a4b17,989e71978356065434c70711222e42da423ef62ce9f4c1d860f6a5763608c24b,pair_component_0020,3,0.9,20260618
medfact_bench_1009,medfact_bench_1009,healthver,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,12,c22ceea05d310839441ef0f377a8f8a25abf4e7a21dc803bb0d00864689a4b17,419c884d25a3d82ee3b072ca6c69cbd59a23bb2034313e50a8f2c03283dc3f1b,pair_component_0020,3,0.9,20260618
medfact_bench_101,medfact_bench_101,scifact,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,13,e983d1cb5ce051c06ef6785be8794566142218cf83fb7b50ab83afec2c53817b,0b30818ab01bf5a0b68095c6b206d487bbe5d2bc00025149168383f54043fd70,pair_component_0021,1,0.9,20260618
medfact_bench_1010,medfact_bench_1010,healthver,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,14,c22ceea05d310839441ef0f377a8f8a25abf4e7a21dc803bb0d00864689a4b17,994878057db796f3514c55c36e92188ec0c66b95e769eb74ea6b32f96a516d79,pair_component_0020,3,0.9,20260618
medfact_bench_1011,medfact_bench_1011,healthver,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,15,c22ceea05d310839441ef0f377a8f8a25abf4e7a21dc803bb0d00864689a4b17,baac20455f5bf95dcb162d15749496b1884e9eba8771afaae07d027acdc76b08,pair_component_0020,3,0.9,20260618
medfact_bench_1012,medfact_bench_1012,healthver,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,16,c22ceea05d310839441ef0f377a8f8a25abf4e7a21dc803bb0d00864689a4b17,5ba4e9b8002ae09b4deeb87d1c5f88434587b14fe2f4e378c8708edc1fdfe0f3,pair_component_0020,3,0.9,20260618
medfact_bench_1013,medfact_bench_1013,healthver,REFUTE,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,2,669f752dcc0e6c1f7509fe5b541ef9ee51133372e1a1820fb089a95a2a2e8439,742c21a4045312e5963f73137101df81d3cf4df5c27552e94e7f19a9af217cc9,pair_component_0019,3,0.9,20260618
medfact_bench_1014,medfact_bench_1014,healthver,REFUTE,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,3,669f752dcc0e6c1f7509fe5b541ef9ee51133372e1a1820fb089a95a2a2e8439,865a041076873c395ac1db10fd83ceceea110ba548dfd720bfed2835f9aac4d2,pair_component_0019,3,0.9,20260618
medfact_bench_1015,medfact_bench_1015,healthver,REFUTE,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,4,669f752dcc0e6c1f7509fe5b541ef9ee51133372e1a1820fb089a95a2a2e8439,22ce956ae6ce2569054cfd294eb749f9cc3b30fd72eef0035ab515c66c1cc6a7,pair_component_0019,3,0.9,20260618
medfact_bench_1016,medfact_bench_1016,healthver,REFUTE,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,5,49f478b73f61b53f39ad4095023d9730e544acf6c8d85922e7deec9f554a9e73,c8204ca43e0ddc92092f2b489c2f8c7e05c0cdb3e5d065c8472bd6fba76e597e,pair_component_0011,1,0.9,20260618
medfact_bench_1017,medfact_bench_1017,healthver,SUPPORT,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,2,49f478b73f61b53f39ad4095023d9730e544acf6c8d85922e7deec9f554a9e73,fb410c59779701c24460fc6ad56afba9ccf2ba8586978bdc9cdce0ee4b7a8a40,pair_component_0011,1,0.9,20260618
medfact_bench_1018,medfact_bench_1018,healthver,SUPPORT,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,3,49f478b73f61b53f39ad4095023d9730e544acf6c8d85922e7deec9f554a9e73,050f529d443ad6c2d9b15f161279940e85ba7f1b1b46e4f18a9bae9e4291e1d4,pair_component_0011,1,0.9,20260618
medfact_bench_1019,medfact_bench_1019,healthver,SUPPORT,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,4,49f478b73f61b53f39ad4095023d9730e544acf6c8d85922e7deec9f554a9e73,d6da22e0f42729732a393a6ebb4890c30eee5893180f7fedd83765e48c9eddcf,pair_component_0011,1,0.9,20260618
medfact_bench_102,medfact_bench_102,scifact,SUPPORT,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,5,5721b537017f0ba64a45c1b942edbc91f5fceae281605306da8751398b3bcc0c,2636b182f58d6282fb5b07db7d17f353eacf61a45e2c8ca402cacb47e71fe68c,pair_component_0003,2,0.9,20260618
medfact_bench_1020,medfact_bench_1020,healthver,SUPPORT,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,6,49f478b73f61b53f39ad4095023d9730e544acf6c8d85922e7deec9f554a9e73,1f2b94dd191be592e9f014074bc14160ca12f94aef4cf5ddadbfb198bb7f258b,pair_component_0011,1,0.9,20260618
medfact_bench_1021,medfact_bench_1021,healthver,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,17,89092601e262912bf66377a78f4dc6738a9475fa1522975e9b0446dfe99b7f9d,dae901f2a091f0896d94fc3f736eefaad1f9086696804d4e9f65cbad183ec77e,pair_component_0022,2,0.9,20260618
medfact_bench_1022,medfact_bench_1022,healthver,UNCERTAIN,standardized_claim_evidence_pool_6454,lexicographic_record_id_within_label_first_200,18,89092601e262912bf66377a78f4dc6738a9475fa1522975e9b0446dfe99b7f9d,c3f503a28a7856e9b41c441216bae1bc762631dc07030c7380bdd620f183f1bf,pair_component_0022,2,0.9,20260618
