annotation_id,claim_id,dataset,path_relevance,evidence_role,error_type,artifact_excluded,artifact_reasons
eswa_0005,medfact_bench_355,healthver,IRRELEVANT,REFUTE,POLARITY,true,REVERSED_DRUG_EFFECT_DIRECTION
eswa_0061,medfact_bench_1143,healthver,IRRELEVANT,REFUTE,POLARITY,true,REVERSED_DRUG_EFFECT_DIRECTION
eswa_0125,medfact_bench_969,healthver,IRRELEVANT,CONTEXT_ONLY,ENTITY_LINKING,true,EXACT_REPEAT_PATH
eswa_0126,medfact_bench_505,healthver,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH,true,EXACT_REPEAT_PATH
eswa_0129,medfact_bench_1305,medaesqa,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,true,EXACT_REPEAT_PATH
eswa_0130,pubhealth_test_481,pubhealth,PARTIAL,REFUTE,INSUFFICIENT_SPECIFICITY,true,REVERSE_MIRROR_PATH
eswa_0132,pubhealth_train_1906,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,true,EXACT_REPEAT_PATH
eswa_0133,medfact_bench_54,scifact,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,true,EXACT_REPEAT_PATH
eswa_0135,medfact_bench_154,scifact,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,true,EXACT_REPEAT_PATH
eswa_0137,medfact_bench_454,healthver,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,true,EXACT_REPEAT_PATH
eswa_0142,pubhealth_train_1810,pubhealth,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,true,EXACT_REPEAT_PATH
eswa_0144,medfact_bench_270,scifact,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,true,REVERSE_MIRROR_PATH
eswa_0145,medfact_bench_239,scifact,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,true,EXACT_REPEAT_PATH
eswa_0149,medfact_bench_672,healthver,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,true,REVERSE_MIRROR_PATH
eswa_0157,medfact_bench_129,scifact,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,true,EXACT_REPEAT_PATH
eswa_0159,medfact_bench_455,healthver,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,true,EXACT_REPEAT_PATH
eswa_0160,medfact_bench_480,healthver,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,true,EXACT_REPEAT_PATH
eswa_0173,medfact_bench_1927,medaesqa,IRRELEVANT,UNKNOWN,ENTITY_LINKING,true,REVERSE_MIRROR_PATH
eswa_0174,pubhealth_train_1834,pubhealth,PARTIAL,CONTEXT_ONLY,RELATION_MISMATCH,true,EXACT_REPEAT_PATH
eswa_0175,medfact_bench_527,healthver,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,true,EXACT_REPEAT_PATH
eswa_0178,pubhealth_validation_866,pubhealth,PARTIAL,CONTEXT_ONLY,ENTITY_LINKING,true,REVERSE_MIRROR_PATH
eswa_0179,medfact_bench_526,healthver,PARTIAL,CONTEXT_ONLY,INDIRECT_BRIDGE,true,EXACT_REPEAT_PATH
eswa_0185,medfact_bench_589,healthver,IRRELEVANT,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,true,EXACT_REPEAT_PATH
eswa_0186,pubhealth_validation_733,pubhealth,PARTIAL,CONTEXT_ONLY,INSUFFICIENT_SPECIFICITY,true,EXACT_REPEAT_PATH
eswa_0486,medfact_bench_352,healthver,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH,true,REVERSED_DRUG_EFFECT_DIRECTION
eswa_0500,medfact_bench_1140,healthver,IRRELEVANT,CONTEXT_ONLY,RELATION_MISMATCH,true,REVERSED_DRUG_EFFECT_DIRECTION
