audit_order,id,pubid,raw_label,mapped_label,question_sha256,converted_claim_sha256,annotator_a_claim_faithfulness,annotator_b_claim_faithfulness,final_claim_faithfulness,annotator_a_atomicity,annotator_b_atomicity,final_atomicity,annotator_a_label_compatibility,annotator_b_label_compatibility,final_label_compatibility,annotator_a_pico_preservation,annotator_b_pico_preservation,final_pico_preservation,annotator_a_modality_strength,annotator_b_modality_strength,final_modality_strength,disagreement_fields
1,pubmedqa_17489316,17489316,maybe,UNCERTAIN,0d1f06dad2e23ac0e085a4e327e257e4e5027829bbecf7554cd527cf0696534a,764c7a1455782417b0d269f9193b6b902c7587051ff8d5da99a67149b7e17af6,VALID,VALID,VALID,NON_ATOMIC,NON_ATOMIC,NON_ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
2,pubmedqa_19711462,19711462,maybe,UNCERTAIN,99a9e9501283a0bdc171569c4a6813d5713e9f627fae8d1168ad9359e46beaf1,050435a66bd921f35bac3ac9ae59f87567d43fc1512c35717c7f723e29e6b6f4,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
3,pubmedqa_15708048,15708048,yes,SUPPORT,8d8266c8eaaf834c9ca1c7ca99c2593914d90c9005ffbe00f42468da521d436c,8423f77df3832903d9cb54d98a74192c18512df5c5e8e04696bdda5d99e48b42,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
4,pubmedqa_20101129,20101129,maybe,UNCERTAIN,3731c6b1a549b91da92da722d62a050c0f40a9ab1ecfe7c90ecb9999831b2045,f931c6832159693673ab8617aef49fcd79d34a07d833f84d144c1d3d0eb31159,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
5,pubmedqa_24074624,24074624,no,REFUTE,da9ef197255cbfa6999634915fc15155f8fcd1d61b5ef50e51a8cc944ef93dd6,8de5429e8c8ab8862adc0b7562ff74f256594be5ecb9112d7725b1fea9386751,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
6,pubmedqa_17403428,17403428,no,REFUTE,a4e7182a60067e962db3ac0e3efac98786c75bd4480a4fa1479c76893d90eabd,bc34cee9bd6c67a230914488d3021bb8627df09927dd184bbcd463ce698c563f,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
7,pubmedqa_21914194,21914194,maybe,UNCERTAIN,0273bf465c5c253c95330a26a9082f000acddd0f293de2597a9ce5d361df5aa7,168b06b5ad611e73f3e585833d90e527861f76aeb0017e59d9ac437ab4ff23e3,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,INCOMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,label_compatibility
8,pubmedqa_19542542,19542542,maybe,UNCERTAIN,3feaeb760cf340f0600321229b7a3d3aee06f7efa6a663c0a6d8af0f42928afc,1f253b65432b3c1a8fd365da64c527cc1dd155ad6c4b3e745dafd37a8f42fa10,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,label_compatibility
9,pubmedqa_22979954,22979954,yes,SUPPORT,4c1a17ca621d79567cb653079003d560fb69171740b20e258d72b42f3a57253e,e5cf5cbb4048517479ffeeea73f58a7e695fdf33e2acf1667a3114f57e5a58e5,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
10,pubmedqa_23497210,23497210,no,REFUTE,6f70ce0288dc630e88150cfc4934503012d9cd8f54cc70df265382056dc0f451,25087257a7994581c5e5f340ef6bab7a0a4727ba4e84b5252db268a0c18a4acd,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,INCOMPATIBLE,COMPATIBLE,INCOMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,label_compatibility
11,pubmedqa_12607666,12607666,yes,SUPPORT,34f113803a18d7ae39a2a01bfb647ebfc78628954837b430d6ad31734a073f65,b47fa7daee1e939367fe57512306f4f71d41b1693a184b95f385ef0a589e3d7e,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
12,pubmedqa_10783841,10783841,yes,SUPPORT,4c8e2ff022e0e563484556e235c91f133bfa7b5589bd32b6a78413ad6fe07377,1d81d3f70df7a63aabe8a883235b7d76b282162ed92e5bf60e9ab94fb8b76fcf,VALID,VALID,VALID,ATOMIC,ATOMIC,ATOMIC,COMPATIBLE,COMPATIBLE,COMPATIBLE,COMPLETE,COMPLETE,COMPLETE,PRESERVED,PRESERVED,PRESERVED,
