record_id,dataset,gold_label,normalized_claim_sha256,normalized_source_sha256,entity_linked,has_local_path,has_direct_edge,has_predicate_aligned_direct,has_qualifier_compatible_direct
medfact_bench_0,scifact,UNCERTAIN,206de6136f5aa78a53b83760da52b37c62f92cd462c5476e4b6b8087b125a437,058b6e3bd34162500538a9ab7f398fbe74f4e6d6460c2e4cb4bcccd577ee2f90,0,0,0,0,0
medfact_bench_1,scifact,SUPPORT,83bf531c351d9171a5bacac6389d6798eddda1738c12693146ffe06fb85e9e96,f04536e7d0d2ea8e2dfb38824ec692783fe83d45f1366d3f9c5723a362840529,0,0,0,0,0
medfact_bench_2,scifact,SUPPORT,4f71bdd75c0cc3ff7a0d0590c431f9cf3a84bc5b2ad39fa457947c025dbadac4,0827b2ee75bf970010c4aa18f01f0e9e98b52506a8cb9c5d5fc3a929c86ada93,0,0,0,0,0
medfact_bench_3,scifact,UNCERTAIN,bba06dc9829ad26cfaa9d2a9c2dcc416cfb2c7abe208cb69733ab5e4dc97f9a9,ea4aea0a46637b8ae2802b4d41c57f40a42ffcb68ae92d4ba762bbdac9a929e3,1,1,0,0,0
medfact_bench_4,scifact,UNCERTAIN,c633c0fd90da9ab7b367c9576473adefcb74a9b2522ee77bc54ec30dfaac2a0d,caf99f9f0987a90bf006d109a0c45a4a3c5399c2d4a4f3821cd4211dbe5fc21a,1,1,1,0,0
medfact_bench_5,scifact,UNCERTAIN,c633c0fd90da9ab7b367c9576473adefcb74a9b2522ee77bc54ec30dfaac2a0d,7c04d6d877c3ada68d959cf0ac435f4da6f08f96aae663b25956a7720cf83d92,1,1,1,0,0
medfact_bench_6,scifact,REFUTE,ba66bfc8e0c46f7318b091c69f56355781b4b6774856df6ff59a553f3eb28b9f,2a09fbf58d6fce5c11ba03e4d30b0920abefc1baae4a8ed1ef5d38a34b30fa46,1,1,0,0,0
medfact_bench_7,scifact,REFUTE,56e4b64f5c816473f2675756276764f039c6ea1c46e42cbb6bbee9fa7807dc73,0827b2ee75bf970010c4aa18f01f0e9e98b52506a8cb9c5d5fc3a929c86ada93,1,0,0,0,0
medfact_bench_8,scifact,SUPPORT,2fea78faaa3cf1a6816bf10dd0384717f09683f5309dcfd7a5653f01e14a9751,e0b12d806d3635ff6a50f9e502a0520b690c28c7b9c78055516ad0420c650796,1,1,0,0,0
medfact_bench_9,scifact,SUPPORT,144614fd02436a9c9b76dfb41e8bd881c4e4d4c8e04cf554bb9228dbbac41a4f,d1e7ec0b279cc90d37f76584caf3ab0ded20aa6b2c7a4aa355c374d0433d7f19,1,0,0,0,0
medfact_bench_10,scifact,REFUTE,13297e466bd165a8e419eba59419b06d0404c93ace1fe677de6c3102fc6f3434,bd637e79d20728fe752345417ec4146ed76eeb37131f1b82b680a4df67724c05,1,1,1,1,0
medfact_bench_11,scifact,SUPPORT,803ecc3c4bcd3cc470cdfc7ae0a2d98c79e955e2837d7dd582583c1dd1f7b0ea,bd637e79d20728fe752345417ec4146ed76eeb37131f1b82b680a4df67724c05,1,1,1,1,0
medfact_bench_12,scifact,REFUTE,3c8cbdd28e1086d6599bd9f6f41d1a39f1c40451201fea3c236778af516b693d,fb57269d9eb28021555baccec942f3cddbce73f517c61f94bb0285a4e2d6ded8,1,1,1,0,0
medfact_bench_13,scifact,SUPPORT,57fd9a903dd4bfbbc3981f00a2bb1105ca7e8843067f218315f95e955d499d76,b0a98bea4678df2f8d67da0d769e472d651bc5b558c093a08bbc7cd138962d10,1,0,0,0,0
medfact_bench_14,scifact,REFUTE,bcd2d5c5da9a564ab38eef9853ac6f8dd95ba84e1ef5348b7ee224ac6098dd2f,b0a98bea4678df2f8d67da0d769e472d651bc5b558c093a08bbc7cd138962d10,1,0,0,0,0
